,address,betta,factor,intercept,ctp_number,heatstation,unom
38,"Погонный пр., д. 1Г",40.928990923651895,-0.002400813507548333,0.03797199935483477,04-01-0611/031,ТЭЦ №23,2600001
39,"Погонный пр., д. 27",42.24239188467699,-0.004186567146349906,0.1031360911507596,04-01-0610/020,ТЭЦ №23,2109234
40,"Погонный пр., д. 5",44.91190603310198,-0.003107920894517481,0.05695250323014385,04-01-0611/021,ТЭЦ №23,2402235
41,"Погонный пр., д. 5",44.91190603310198,-0.003269042058683135,0.05867335196916328,04-01-0611/021,ТЭЦ №23,2402235
42,"Погонный пр., д. 5",44.91190603310198,-0.002259391486023731,0.04468191844947012,04-01-0611/021,ТЭЦ №23,2402235
44,"б-р Маршала Рокоссовского, д. 26",40.6213561131874,-0.002261273816228244,0.03360219827899586,04-01-0607/045,ТЭЦ №23,2404763
45,"б-р Маршала Рокоссовского, д. 34",52.81366791243993,-0.02051222454763664,0.2436803310497105,04-01-0610/021,ТЭЦ №23,2401632
46,"б-р Маршала Рокоссовского, д. 35, стр. 1",41.922050186865995,-0.004899748829788365,0.1081400318398803,04-01-0610/017,ТЭЦ №23,2109309
47,"1-я Гражданская ул., д. 101",44.16444207154298,-0.006252245943574665,0.1674802124175434,04-01-0610/013,ТЭЦ №23,5916
48,"1-я Гражданская ул., д. 95",42.85104111051788,-0.004187913798402231,0.07987061481900952,04-01-0610/007,ТЭЦ №23,5912
49,"1-я Гражданская ул., д. 97",42.85104111051788,-0.003590138761001711,0.09727585183494297,04-01-0610/007,ТЭЦ №23,5913
50,"1-я Гражданская ул., д. 99, к. 1",42.85104111051788,-0.004409518348623199,0.0811769919549975,04-01-0610/007,ТЭЦ №23,5914
51,"1-я Гражданская ул., д. 99, к. 2",42.85104111051788,-0.004997091545653608,0.08574871663767614,04-01-0610/007,ТЭЦ №23,5915
52,"1-я Мясниковская ул., д. 14",43.25774052322477,-0.004073172148033806,0.1200109115044908,04-01-0611/008,ТЭЦ №23,15436
53,"1-я Мясниковская ул., д. 14А",45.232247730912974,-0.008921386035616395,0.2036235133235754,04-01-0611/009,ТЭЦ №23,15437
54,"1-я Мясниковская ул., д. 18",42.30646022423919,-0.003972676329254385,0.0970544150956753,04-01-0611/003,ТЭЦ №23,15438
55,"1-я Мясниковская ул., д. 20",42.86171916711159,-0.003352541561264865,0.07346345293852931,04-01-0611/003,ТЭЦ №23,15439
56,"1-я Мясниковская ул., д. 8/10",44.84783769353978,-0.004585651817087855,0.1362629903527803,04-01-0611/007,ТЭЦ №23,15435
57,"2-я Прогонная ул., д. 10",46.41751201281367,-0.01079273790746662,0.2759927657525619,04-01-0610/007,ТЭЦ №23,20821
58,"2-я Прогонная ул., д. 11",43.203416978109985,-0.006611557598544051,0.1631533235323314,04-01-0610/014,ТЭЦ №23,20822
59,"2-я Прогонная ул., д. 7",48.00854244527496,-0.01831114752678081,0.4624568134184407,04-01-0610/014,ТЭЦ №23,20819
60,"2-я Прогонная ул., д. 9",43.203416978109985,-0.006599225715221348,0.1655938600429429,04-01-0610/014,ТЭЦ №23,20820
61,"3-й пр. Подбельского, д. 16",43.096636412172984,-0.005101433423850728,0.1031122458109868,04-01-0607/038,ТЭЦ №23,20195
62,"3-й пр. Подбельского, д. 16А",43.096636412172984,-0.004807800647063791,0.1044108551145579,04-01-0607/038,ТЭЦ №23,20197
63,"3-й пр. Подбельского, д. 16Б",43.737319807794975,-0.00505516600514053,0.1481632073531506,04-01-0607/040,ТЭЦ №23,20196
64,"3-й пр. Подбельского, д. 18",44.48478376935398,-0.006892371488765169,0.1500520443982091,04-01-0607/038,ТЭЦ №23,20199
65,"3-й пр. Подбельского, д. 18А",42.24239188467699,-0.003272500163112157,0.1030322541726386,04-01-0607/038,ТЭЦ №23,20202
66,"3-й пр. Подбельского, д. 22, к. 3",42.733582487987185,-0.005431389631183652,0.1193483860450785,04-01-0607/035,ТЭЦ №23,20203
67,"3-я Богатырская ул., д. 14",41.922050186865995,-0.003008077886415696,0.05800952717011148,04-01-0611/020,ТЭЦ №23,2256
68,"3-я Богатырская ул., д. 21",42.88307528029898,-0.007176078765424706,0.1351586881874256,04-01-0611/020,ТЭЦ №23,2257
69,"3-я Гражданская ул., д. 2",45.76615056059797,-0.01091245614470026,0.2823284120144511,04-01-0610/014,ТЭЦ №23,5917
70,"3-я Гражданская ул., д. 3",45.01868659903898,-0.009260129978929148,0.1686407667039284,04-01-0611/016,ТЭЦ №23,51500
71,"3-я Гражданская ул., д. 4",45.87293112653497,-0.01168352004952383,0.302375334993843,04-01-0610/014,ТЭЦ №23,5919
72,"3-я Гражданская ул., д. 52",42.45595301655099,-0.004525980455353908,0.1426826016712575,04-01-0610/006,ТЭЦ №23,5921
73,"3-я Гражданская ул., д. 54",43.203416978109985,-0.004993232075267495,0.1556196453436111,04-01-0610/006,ТЭЦ №23,5922
74,"3-я Гражданская ул., д. 54А",44.196476241324085,-0.007535225304047684,0.2132463130243421,04-01-0610/007,ТЭЦ №23,5923
75,"3-я Гражданская ул., д. 58",43.63053924185798,-0.007665821372110781,0.1604905111962248,04-01-0610/008,ТЭЦ №23,5924
76,"3-я Гражданская ул., д. 6",45.80872397223706,-0.01256015673726385,0.3099171638009647,04-01-0610/014,ТЭЦ №23,5920
77,"4-й пр. Подбельского, д. 2, к. 1",43.203416978109985,-0.00630962161408605,0.1359635341124907,04-01-0607/035,ТЭЦ №23,20205
78,"4-й пр. Подбельского, д. 4, к. 2",43.203416978109985,-0.006286286536531044,0.1341548551125583,04-01-0607/035,ТЭЦ №23,20206
79,"4-й пр. Подбельского, д. 6",44.345969033635875,-0.009309892667349948,0.2026079503215203,04-01-0607/035,ТЭЦ №23,20208
80,"4-я Гражданская ул., д. 32",41.761879337960494,-0.002393813504305091,0.06668163210977493,04-01-0608/010,ТЭЦ №23,5927
81,"4-я Гражданская ул., д. 34, к. 1",42.61612386545649,-0.005191605768070646,0.130554579517914,04-01-0608/010,ТЭЦ №23,5928
82,"4-я Гражданская ул., д. 34, к. 2",41.85798184730379,-0.003040724740827622,0.07901084699969792,04-01-0608/010,ТЭЦ №23,5929
83,"4-я Гражданская ул., д. 35",41.682861719167114,-0.004952043836805714,0.08539103466531216,04-01-0610/003,ТЭЦ №23,5931
84,"Алымов пер., д. 13",42.45595301655099,-0.004523046616421232,0.1245787025740175,04-01-0610/013,ТЭЦ №23,462
85,"Алымов пер., д. 17, к. 1",42.45595301655099,-0.005162229679977293,0.1388265359623202,04-01-0610/013,ТЭЦ №23,463
86,"Алымов пер., д. 17, к. 2",41.17458622530699,-0.002833911310486555,0.0826515635641345,04-01-0610/013,ТЭЦ №23,464
87,"Алымов пер., д. 4",49.24719701014415,-0.02108811850740465,0.3772107814606153,04-01-0610/034,ТЭЦ №23,64069
88,"Бойцовая ул., д. 13, к. 1",43.65189535504538,-0.00806873511950125,0.142850629712431,04-01-0610/003,ТЭЦ №23,2346
89,"Бойцовая ул., д. 13, к. 2",42.47730912973839,-0.008154858563176482,0.1464602508566655,04-01-0610/003,ТЭЦ №23,2347
90,"Бойцовая ул., д. 15",41.84196476241324,-0.004874518224358866,0.08857285798610298,04-01-0610/003,ТЭЦ №23,2356
91,"Бойцовая ул., д. 17, к. 1",44.18579818473038,-0.006105780071551574,0.1075610476408881,04-01-0610/003,ТЭЦ №23,2357
92,"Бойцовая ул., д. 17, к. 2",41.29845168179392,-0.004298769972170635,0.07059246691294158,04-01-0610/003,ТЭЦ №23,2358
93,"Бойцовая ул., д. 17, к. 3",42.176187933796044,-0.006197961297380655,0.1057229042364782,04-01-0610/003,ТЭЦ №23,2359
94,"Бойцовая ул., д. 19",41.834490122797654,-0.004087044758169809,0.07174908139106279,04-01-0610/003,ТЭЦ №23,2370
95,"Бойцовая ул., д. 2/30",44.975974372664176,-0.007392062707487611,0.1853164076038923,04-01-0608/010,ТЭЦ №23,2325
96,"Бойцовая ул., д. 21, к. 2",44.16444207154298,-0.007612368403139011,0.2018698868626386,04-01-0610/024,ТЭЦ №23,21924
97,"Бойцовая ул., д. 29",45.01868659903898,-0.008610317107304576,0.1906745354944189,04-01-0607/037,ТЭЦ №23,2381
98,"Глебовская ул., д. 1",43.12867058195408,-0.005325101050684503,0.1252489872230072,04-01-0610/004,ТЭЦ №23,5535
99,"Глебовская ул., д. 10",42.69087026161238,-0.007136526773969379,0.1250647303186235,04-01-0610/003,ТЭЦ №23,5546
100,"Глебовская ул., д. 10А",42.65029364655633,-0.005617443451586888,0.1105455664078114,04-01-0610/003,ТЭЦ №23,5547
101,"Глебовская ул., д. 11",42.86171916711159,-0.004556320858982107,0.1144360047567672,04-01-0610/004,ТЭЦ №23,5548
102,"Глебовская ул., д. 12",41.93166043780032,-0.003330559836594545,0.05777215331916382,04-01-0610/003,ТЭЦ №23,5549
103,"Глебовская ул., д. 16",41.269620928990925,-0.002546497879103872,0.04330747261141282,04-01-0610/003,ТЭЦ №23,5550
104,"Глебовская ул., д. 2",41.922050186865995,-0.002328414137234939,0.05898274499637837,04-01-0610/004,ТЭЦ №23,5536
105,"Глебовская ул., д. 4",42.21035771489589,-0.004885581589992337,0.09443088824897426,04-01-0610/004,ТЭЦ №23,5539
106,"Глебовская ул., д. 5",42.86171916711159,-0.004582856138376619,0.11255651262333,04-01-0610/004,ТЭЦ №23,5540
107,"Глебовская ул., д. 6",43.203416978109985,-0.004896345258675651,0.1202037227248372,04-01-0610/004,ТЭЦ №23,5541
108,"Глебовская ул., д. 7",42.86171916711159,-0.003781148193672401,0.09851736964338172,04-01-0610/004,ТЭЦ №23,5542
109,"Глебовская ул., д. 9",42.86171916711159,-0.005383125899587831,0.1285316193839829,04-01-0610/004,ТЭЦ №23,5545
110,"Детская ул., д. 14",42.567004805125464,-0.005616426729244978,0.08541648322147352,04-01-0610/003,ТЭЦ №23,6489
111,"Ивантеевская ул., д. 1, к. 3",42.562733582487986,-0.005531363031595443,0.107141124998343,04-01-0612/030,ТЭЦ №23,20148
112,"Ивантеевская ул., д. 1, к. 4",42.562733582487986,-0.004218246634209704,0.077919282187679,04-01-0612/030,ТЭЦ №23,20149
113,"Ивантеевская ул., д. 1, к. 5",42.34917245061399,-0.004303438835572533,0.08287030430709136,04-01-0612/030,ТЭЦ №23,20150
114,"Ивантеевская ул., д. 10",48.43566470902296,-0.01644044335088091,0.4025367911030912,04-01-0610/020,ТЭЦ №23,20171
115,"Ивантеевская ул., д. 11",43.032568072610786,-0.00703931365175873,0.156577109384539,04-01-0607/035,ТЭЦ №23,20172
116,"Ивантеевская ул., д. 11Б",42.925787506673785,-0.005399861837347837,0.1146196180745297,04-01-0607/035,ТЭЦ №23,20173
117,"Ивантеевская ул., д. 13",44.80512546716498,-0.007592407702110202,0.1378357280063034,04-01-0607/060,ТЭЦ №23,64120
118,"Ивантеевская ул., д. 15, к. 1",41.70848905499199,-0.002831967870887324,0.05342642323568009,04-01-0607/031,ТЭЦ №23,20175
119,"Ивантеевская ул., д. 16/18",43.203416978109985,-0.006237975028366893,0.1366622949784098,04-01-0607/038,ТЭЦ №23,260104
120,"Ивантеевская ул., д. 17, к. 1",43.310197544046986,-0.00531515378447949,0.09791044340996206,04-01-0607/031,ТЭЦ №23,20177
121,"Ивантеевская ул., д. 19",43.203416978109985,-0.00538663821062611,0.1014213362778499,04-01-0607/031,ТЭЦ №23,20179
122,"Ивантеевская ул., д. 2",44.48478376935398,-0.008750963352390635,0.1663047900749049,04-01-0612/031,ТЭЦ №23,20159
123,"Ивантеевская ул., д. 20",42.88307528029898,-0.003919874388314563,0.1001039365293892,04-01-0607/036,ТЭЦ №23,20180
124,"Ивантеевская ул., д. 21",43.203406300053395,-0.005548266984860736,0.1043675295137172,04-01-0607/031,ТЭЦ №23,20181
125,"Ивантеевская ул., д. 23",43.20342765616658,-0.0060418551036314,0.1080824394144465,04-01-0607/031,ТЭЦ №23,20182
126,"Ивантеевская ул., д. 2А",40.85424452749599,-0.001889509695774855,0.03589765587004807,04-01-0612/030,ТЭЦ №23,20158
127,"Ивантеевская ул., д. 2Б",42.13561131873999,-0.004244066107521487,0.07816514846592446,04-01-0612/030,ТЭЦ №23,20157
128,"Ивантеевская ул., д. 3, к. 1",45.979711692471966,-0.01400096894983064,0.2372394484357553,04-01-0616/002,ТЭЦ №23,64115
129,"Ивантеевская ул., д. 3, к. 3",42.84675920982381,-0.005194366699189979,0.102084097429345,04-01-0612/030,ТЭЦ №23,20162
130,"Ивантеевская ул., д. 3, к. 4",42.24239188467699,-0.005276911720904044,0.09618836026014906,04-01-0612/030,ТЭЦ №23,20163
131,"Ивантеевская ул., д. 3, к. 5",41.7223705285638,-0.003025489301480029,0.0632223255890015,04-01-0612/030,ТЭЦ №23,20164
132,"Ивантеевская ул., д. 4, к. 1",43.41697810998398,-0.007618241112581903,0.1640659848769756,04-01-0610/021,ТЭЦ №23,20165
133,"Ивантеевская ул., д. 6",42.24239188467699,-0.005256767621127865,0.1294730724404285,04-01-0610/020,ТЭЦ №23,20167
134,"Ивантеевская ул., д. 7/20",43.45969033635878,-0.006714988382247289,0.1521142062282462,04-01-0607/035,ТЭЦ №23,20168
135,"Ивантеевская ул., д. 8",42.77629471436199,-0.005207737550500879,0.1278214818633861,04-01-0610/020,ТЭЦ №23,20169
136,"Игральная ул., д. 3",42.45595301655099,-0.003679756844595726,0.0661355483307534,04-01-0611/006,ТЭЦ №23,8570
137,"Игральная ул., д. 4",46.30005339028297,-0.01137993471354297,0.1930012822115206,04-01-0611/002,ТЭЦ №23,8571
138,"Игральная ул., д. 5",46.40683395621997,-0.01261921120362416,0.2289254340255745,04-01-0611/006,ТЭЦ №23,8572
139,"Игральная ул., д. 6, к. 2",43.203416978109985,-0.006038457379959138,0.1083146498618385,04-01-0611/002,ТЭЦ №23,8574
140,"Игральная ул., д. 7",43.95088093966898,-0.006655766180120345,0.1155559369576628,04-01-0611/006,ТЭЦ №23,8575
141,"Краснобогатырская ул., д. 19, к. 1",45.445808862786976,-0.00692677386566159,0.1309511690006986,04-01-0610/028,ТЭЦ №23,11463
142,"Краснобогатырская ул., д. 19, к. 2",43.63053924185798,-0.006818189486538167,0.1309036963652348,04-01-0610/028,ТЭЦ №23,11464
143,"Краснобогатырская ул., д. 19, к. 3",46.51361452215696,-0.01487707357079345,0.2921447673244322,04-01-0610/028,ТЭЦ №23,11465
144,"Краснобогатырская ул., д. 21",53.66791243993593,-0.02918853134325558,0.568645358810124,04-01-0610/028,ТЭЦ №23,11466
145,"Краснобогатырская ул., д. 23",44.666310731446885,-0.008592147833132422,0.1455468107701057,04-01-0610/029,ТЭЦ №23,11467
146,"Краснобогатырская ул., д. 25",43.737319807794975,-0.01220108731379668,0.203064821128655,04-01-0610/029,ТЭЦ №23,11469
147,"Краснобогатырская ул., д. 27",44.38868126001068,-0.009765452047052292,0.1691785053303554,04-01-0610/029,ТЭЦ №23,11470
148,"Краснобогатырская ул., д. 29",44.27122263747998,-0.0105062462692957,0.1799785855346356,04-01-0610/029,ТЭЦ №23,11471
149,"Краснобогатырская ул., д. 31, к. 1",43.63053924185798,-0.008834913859780765,0.1401625392881483,04-01-0610/032,ТЭЦ №23,11472
150,"Краснобогатырская ул., д. 31, к. 2",45.65936999466097,-0.008236838444131261,0.1692974756375909,04-01-0610/032,ТЭЦ №23,11473
151,"Краснобогатырская ул., д. 75, к. 1",47.8981313400961,-0.01670787888918958,0.4358085124366581,04-01-0610/007,ТЭЦ №23,11474
152,"Краснобогатырская ул., д. 75, к. 2",44.399359316604375,-0.00813551336838996,0.2116185455020908,04-01-0610/007,ТЭЦ №23,11475
153,"Краснобогатырская ул., д. 77",48.21142552055526,-0.01590943463676323,0.4066145548529979,04-01-0610/007,ТЭЦ №23,11476
154,"Малая Черкизовская ул., д. 64",48.412172984516815,-0.01265056326935698,0.3035784004372941,04-01-0608/062,ТЭЦ №23,28619
155,"Малая Черкизовская ул., д. 66",51.34009610250935,-0.01936163451783511,0.4022703492822762,04-01-0608/010,ТЭЦ №23,28620
156,"Миллионная ул., д. 10",44.02562733582488,-0.005886873626166919,0.1395321492358526,04-01-0611/015,ТЭЦ №23,14378
157,"Миллионная ул., д. 10А",43.00907634810464,-0.00616008089349339,0.1435039889956305,04-01-0611/015,ТЭЦ №23,14379
158,"Миллионная ул., д. 11, к. 1",49.21708489054992,-0.01704822935456525,0.4379748754694135,04-01-0611/020,ТЭЦ №23,14380
159,"Миллионная ул., д. 11, к. 2",45.55258942872398,-0.007695524494035653,0.1388999722831751,04-01-0611/020,ТЭЦ №23,14381
160,"Миллионная ул., д. 11, к. 3",44.16444207154298,-0.008639485031770847,0.2257621511941239,04-01-0611/020,ТЭЦ №23,14382
161,"Миллионная ул., д. 11, к. 3",44.16444207154298,-0.008180763045505338,0.1503076870779723,04-01-0611/020,ТЭЦ №23,14382
162,"Миллионная ул., д. 12",43.08489054991991,-0.004520121533206863,0.1062137099262864,04-01-0611/015,ТЭЦ №23,14383
163,"Миллионная ул., д. 13, к. 1",43.203416978109985,-0.005809582832985417,0.1079137530759168,04-01-0611/020,ТЭЦ №23,14384
164,"Миллионная ул., д. 13, к. 2",43.203416978109985,-0.005382001053199001,0.1444522168291183,04-01-0611/020,ТЭЦ №23,14385
165,"Миллионная ул., д. 14",44.27122263747998,-0.01032511538806333,0.2388442487264661,04-01-0611/015,ТЭЦ №23,14389
166,"Миллионная ул., д. 15, к. 1",43.41697810998398,-0.007235484143568518,0.1295540401378411,04-01-0611/020,ТЭЦ №23,14388
167,"Миллионная ул., д. 15, к. 2",42.88307528029898,-0.006628570717263275,0.123774055862648,04-01-0611/020,ТЭЦ №23,14387
168,"Миллионная ул., д. 15, к. 3",42.45595301655099,-0.006535296287094432,0.1130797519254351,04-01-0611/020,ТЭЦ №23,14386
169,"Миллионная ул., д. 8, к. 1",42.85104111051788,-0.007151787175241476,0.1572810914285141,04-01-0611/015,ТЭЦ №23,14375
170,"Миллионная ул., д. 8, к. 2",41.68713294180459,-0.00317575282369544,0.07546220329486984,04-01-0611/015,ТЭЦ №23,14376
171,"Миллионная ул., д. 8, к. 3",41.70848905499199,-0.00439346961017849,0.1021844857210195,04-01-0611/015,ТЭЦ №23,14377
172,"Наримановская ул., д. 13",42.85104111051788,-0.005550968343606619,0.1302690589076562,04-01-0611/015,ТЭЦ №23,15747
173,"Наримановская ул., д. 15",41.692471970101444,-0.002853507104044529,0.06930231731073956,04-01-0611/015,ТЭЦ №23,15748
174,"Наримановская ул., д. 17",41.692471970101444,-0.002931876002401403,0.07433996319865718,04-01-0611/015,ТЭЦ №23,15749
175,"Наримановская ул., д. 19",41.692471970101444,-0.003385552871683076,0.0820355046252619,04-01-0611/015,ТЭЦ №23,15750
176,"Наримановская ул., д. 21",41.692471970101444,-0.003732939724962159,0.0958058774448686,04-01-0611/015,ТЭЦ №23,15751
177,"Наримановская ул., д. 22, к. 1",43.05392418579818,-0.006553670755934893,0.1541729891484976,04-01-0611/003,ТЭЦ №23,15752
178,"Наримановская ул., д. 22, к. 2",43.63053924185798,-0.006214261747414594,0.1114570475721609,04-01-0611/016,ТЭЦ №23,15753
179,"Наримановская ул., д. 22, к. 3",43.63053924185798,-0.007518226998820569,0.1368121969760681,04-01-0611/016,ТЭЦ №23,15754
180,"Наримановская ул., д. 23",43.310197544046986,-0.006664040637453174,0.1762446383339316,04-01-0611/003,ТЭЦ №23,15755
181,"Наримановская ул., д. 25, к. 1",41.84730379071009,-0.002951443831365841,0.04789253160719437,04-01-0611/003,ТЭЦ №23,15756
182,"Наримановская ул., д. 25, к. 2",41.84730379071009,-0.003011939493064939,0.04661270579578505,04-01-0611/003,ТЭЦ №23,15757
183,"Наримановская ул., д. 25, к. 3",41.84730379071009,-0.003871631407818679,0.09750891486042822,04-01-0611/003,ТЭЦ №23,15758
184,"Наримановская ул., д. 26, к. 1",43.310197544046986,-0.003657385806844451,0.09307468359465816,04-01-0611/003,ТЭЦ №23,15759
185,"Наримановская ул., д. 26, к. 2",41.68713294180459,-0.003309024577383199,0.05877696046675703,04-01-0611/003,ТЭЦ №23,15760
186,"Наримановская ул., д. 26, к. 3",44.80512546716498,-0.01015700873107426,0.1581512539018627,04-01-0611/003,ТЭЦ №23,15761
187,"Наримановская ул., д. 27",41.86865990389749,-0.003438686531976252,0.08730589885779062,04-01-0611/003,ТЭЦ №23,15762
188,"Наримановская ул., д. 34",42.38120662039509,-0.004076492359672997,0.1012788516683542,04-01-0611/003,ТЭЦ №23,15763
189,"Погонный пр., д. 1, к. 1",42.77629471436199,-0.005546923444323767,0.1471721068740748,04-01-0611/013,ТЭЦ №23,20114
190,"Погонный пр., д. 1, к. 10",41.94340630005339,-0.003633410909896617,0.08305246061384917,04-01-0611/014,ТЭЦ №23,20123
191,"Погонный пр., д. 1, к. 3",41.28136679124399,-0.002207059305305304,0.05867290826695744,04-01-0611/013,ТЭЦ №23,20116
192,"Погонный пр., д. 1, к. 7",41.260010678056595,-0.00231557951412986,0.05188068539427176,04-01-0611/014,ТЭЦ №23,20120
193,"Погонный пр., д. 11",45.48852108916178,-0.01082310510160777,0.2588543637277679,04-01-0610/030,ТЭЦ №23,64051
194,"Погонный пр., д. 12, к. 1",45.232247730912974,-0.01103398061909943,0.3132541591669741,04-01-0610/030,ТЭЦ №23,20136
195,"Погонный пр., д. 2",42.13561131873999,-0.004158513748488565,0.1095124387181652,04-01-0611/011,ТЭЦ №23,20126
196,"Погонный пр., д. 23, к. 1",48.00854244527496,-0.01562321504567781,0.4129000147018055,04-01-0610/030,ТЭЦ №23,20137
197,"Погонный пр., д. 23, к. 3",42.34917245061399,-0.003901986017871186,0.1084198086033809,04-01-0610/030,ТЭЦ №23,20139
198,"Погонный пр., д. 25",42.77629471436199,-0.004913497370994659,0.1171151609021083,04-01-0610/021,ТЭЦ №23,20141
199,"Погонный пр., д. 3, к. 1",42.34917245061399,-0.004039499596356943,0.07382819668139783,04-01-0611/022,ТЭЦ №23,51784
200,"Погонный пр., д. 3, к. 3",45.01868659903898,-0.007791814265586549,0.1377723431495155,04-01-0611/022,ТЭЦ №23,31906
201,"Погонный пр., д. 33",45.232247730912974,-0.01149147065447787,0.2771391232759997,04-01-0610/020,ТЭЦ №23,20142
202,"Погонный пр., д. 4",43.95088093966898,-0.007617222016190382,0.1991056436696665,04-01-0611/011,ТЭЦ №23,20127
203,"Погонный пр., д. 48",41.815269620928994,-0.003345003876448607,0.08273248198798122,04-01-0610/020,ТЭЦ №23,20143
204,"Погонный пр., д. 50",41.70848905499199,-0.00364353793777641,0.08374291130341815,04-01-0610/020,ТЭЦ №23,20144
205,"Погонный пр., д. 52",42.13561131873999,-0.004416147895116723,0.1096038425841414,04-01-0610/020,ТЭЦ №23,20145
206,"Погонный пр., д. 6",43.95088093966898,-0.008469897832585208,0.2208616482501271,04-01-0611/011,ТЭЦ №23,20133
207,"Погонный пр., д. 7, к. 1",42.34917245061399,-0.00369495737780113,0.06609278554907005,04-01-0611/022,ТЭЦ №23,32063
208,"Погонный пр., д. 7, к. 3",44.69834490122798,-0.008094249409115246,0.1416071893997832,04-01-0611/022,ТЭЦ №23,64023
209,"Погонный пр., д. 8",43.95088093966898,-0.007398922212527605,0.2040955657892276,04-01-0611/011,ТЭЦ №23,20134
210,"Погонный пр., д. 9",44.378003203416974,-0.00749263396431026,0.1993440704352433,04-01-0610/030,ТЭЦ №23,20135
211,"Просторная ул., д. 11",47.58401494927923,-0.01555297840281588,0.3725123715700197,04-01-0608/010,ТЭЦ №23,20906
212,"Просторная ул., д. 5",45.339028296849975,-0.0101287945758646,0.2533260564407312,04-01-0608/062,ТЭЦ №23,20898
213,"Просторная ул., д. 9",45.638013881473576,-0.00781952130352879,0.1914636973104316,04-01-0608/010,ТЭЦ №23,20901
